,billing_amount,merchant_name,merchant_category
450,278.0,WWW GROFERS COM,FOOD
451,944.0,ALBEK JP NAGAR,FOOD
452,191.0,KFC RESTAURANTS.,FOOD
453,489.0,FASO SUPER SHOPPE,FOOD
454,554.0,The Big Market 1.,FOOD
455,1098.0,PH SAPPHIRE,FOOD
456,179.0,SWIGGY,FOOD
457,263.64,KFC,FOOD
458,60.0,WWW FOODPANDA IN,FOOD
459,189.0,NEO SUPER MARKET,FOOD
460,695.0,ADARSH REALTY,TRAVEL
461,474.0,TOP IN TOWN SUPER MARK,FOOD
462,290.0,HERITAGE FOODS,FOOD
463,845.0,AHMEDIA STORES,FOOD
464,244.0,THE BIG MARKE4.,FOOD
465,122.0,NILGIRIS,FOOD
466,208.0,THE BIG MARKE4.,FOOD
467,69.0,FREECHARGE,MOBILE
468,961.0,MCA-SHIRKE REP(GPRS),GENERAL
469,500.0,SHELL SRI SAI BALAJI E,FUEL
470,365.0,STAR BAZAAR.,FOOD
471,1090.0,Bharti Retail Ltd,FOOD
472,274.0,Ashirwad Super Market,FOOD
473,146.0,THE DENNYS,FOOD
474,1045.0,DMART SIDDAPURA,FOOD
475,900.0,CAKE GENIE,FOOD
476,180.0,WWW SWIGGY IN,FOOD
477,100.0,RAMDEV SAGAR,FOOD
478,139.0,Paytm Mobile Solutions,FOOD
479,370.0,AMAZON SELLER SERVICES,FOOD
480,789.0,GRAND MART HYPER MARKE,FOOD
481,382.0,WWW SWIGGY IN,FOOD
482,296.5,STAR BAZAAR.,FOOD
483,368.0,FRESH N FIT HOSPITALIT,FOOD
484,227.0,Ashirwad Super Market,FOOD
485,440.0,HAMZA HOTEL,FOOD
486,1084.0,DMART Aundh,FOOD
487,782.0,SHRINIDHIS HYDERABADI,TRAVEL
488,216.0,NANDANAAM,FOOD
489,130.0,KABAB MAGIC-MARATHALLI,FOOD
490,836.0,NAMDHARI AGRO FRESH PR,FOOD
491,219.0,NKP EMPIRE,FOOD
492,230.0,P.K. HOSPITALITY SERVI,FOOD
493,844.0,PALLAVI SUPERMARKET,FOOD
494,288.0,VILLAGE HYPER,FOOD
495,2000.0,METRO CASH AND CARRY I,FOOD
496,247.0,Grand Mart Super Mar3.,FOOD
497,520.0,LITTLE KITCHEN,GENERAL
498,1900.0,AMPLE MART,FOOD
499,783.0,XPRESS HOME NEEDS,FOOD
500,1000.0,SPAR BANNERGHATTA ROAD,FOOD
501,141.0,FOODWORLD,FOOD
502,1861.75,VILLAGE HYPER,FOOD
503,936.03,CASH N CARRY,FOOD
504,1500.0,NATIONWIDE PRIMARY,MEDICAL
505,1147.72,www.airtel.in,UTILITIES
506,463.0,URDOORSTEP ERETAIL,GENERAL
507,849.0,AMAZON SELLER SERVICES BANGALORE,FOOD
508,953.0,LULU VALUE MART,FOOD
509,123.5,Reliance Market,FOOD
510,276.0,Ashirwad Super Market,FOOD
511,150.0,CURRIES AND,FOOD
512,252.0,SRI RAMA RICE,GENERAL
513,505.93,MORE MEGASTORE,FOOD
514,200.0,BALAJI WINES,FOOD
515,1071.0,SPAR OASIS MALL KORAMA,FOOD
516,150.0,Mughal Treat,FOOD
517,365.0,FRESHCO HYPER MARKET,FOOD
518,380.0,LITTLE KITCHEN,GENERAL
519,333.0,DHAN LAXMI PHARMA AND,MEDICAL
520,249.0,FREECHARGE,MOBILE
521,916.0,GOOD FOOD RETAIL,FOOD
522,3000.0,SAVAARI CAR RENTALS,TRAVEL
523,219.0,AMAZON SELLER SERVICES,FOOD
524,330.0,Citrusp* faasos,FOOD
525,296.0,WWW FOODPANDA IN GURGAON,FOOD
526,522.0,CITI FOOD CENTRE BANGALORE,FOOD
527,451.0,MEGHANA FOODS BANGALORE,FOOD
528,837.42,DOMINOS. BANGALORE,FOOD
529,315.0,AL NOOR KITCHEN TRIVANDRUM,FOOD
530,1274.0,DOMINOS PIZZA . BANGALORE,FOOD
531,147.0,Grand Mart Super Mar3. Bangalore,FOOD
532,1224.0,SPAR GOPALAN SIGNATURE BANGALORE,FOOD
533,508.0,SRINIKETHA ASSOCIATES PALANI,TRAVEL
534,100.0,CLICK HOME SHOP BANGALORE,FOOD
535,148.0,ADITYA BIRLA RETAIL LT BANGALORE,FOOD
536,137.0,BHAGINI BAR & RESTAURA BANGALORE,FOOD
537,774.48,MORE MEGASTORE BANGALORE,FOOD
538,30.0,WWW FOODPANDA IN,FOOD
539,1493.9,DMART SIDDAPURA,FOOD
540,1645.76,DMART SIDDAPURA,FOOD
541,278.0,S M FOOD PALACE,FOOD
542,740.0,S M FOOD PALACE,FOOD
543,837.0,SAISANGEET,TRAVEL
544,511.0,SRINIKETHA ASSOCIATES,TRAVEL
545,3507.6,BOOKMYSHOW COM,ENTERTAINMENT
546,971.97,Reliance Market BANGALORE,FOOD
547,2200.0,VALUE MART BANGALORE,FOOD
548,58.0,FIVE STAR CHICKEN BANGALORE,FOOD
549,135.0,KABAB MASTI SQUARE-HSR BANGALORE,FOOD
550,273.0,PONNUSAMY HOTEL SAIDAP CHENNAI,FOOD
551,708.0,DINDIGUL CHENNAI,FOOD
552,119.42,"MORE, BANGALORE",FOOD
553,562.0,ADITYA BIRLA RETAIL LT BANGALORE,FOOD
554,172.0,ADITYA BIRLA RETAIL LT BANGALORE,FOOD
